Date,DCM Filename,Noise Variance,Rating,ID,ROIs
2019-04-22_17:48:49,IM-0017-0001-0001.dcm,0,1,50891fbe-1476-4b0f-8323-e9e691a14e70,[]
2019-04-23_07:18:32,IM-0017-0007-0001.dcm,0,2,532ad65d-590b-40ab-a223-a29c93f52a88,[]
2019-04-23_07:52:12,IM-0020-0001-0001.dcm,0,2,1f2c0253-ddb8-427d-9bcd-7315918fde4b,[]
2019-04-23_11:03:34,IM-0020-0019-0001.dcm,0,2,bc666c83-ae4d-48fa-ab8f-07d784acff2e,[]
2019-04-23_12:02:33,IM-0001-0014-0001.dcm,0,2,adb2b220-25e3-42ba-aca0-f89c617549a7,[]
2019-04-23_13:17:50,IM-0043-0005-0001.dcm,0,1,ba4d1b90-d9f7-4e1b-9689-25112b3b2df9,[]
2019-04-23_13:57:09,IM-0002-0018-0001.dcm,0,2,e23abe5d-3d8c-451d-a832-d5353f36372e,[]
2019-04-23_15:08:37,IM-0007-0020-0001.dcm,0,2,278ba206-baa8-4ff5-8f7d-95bba5f953e2,[]
2019-04-23_17:09:05,IM-0043-0004-0001.dcm,0,1,590fc51f-a057-4ba4-bdef-58a51777bd48,[]
2019-04-24_07:37:27,IM-0021-0018-0001.dcm,0,2,a741d9c6-cf75-48b3-a4e7-37e2871d3e92,[]
2019-04-24_08:55:03,IM-0053-0023-0001.dcm,0,2,df4cf680-a99a-45c3-ae2c-732d5c8b43cd,[]
2019-04-24_10:36:24,IM-0047-0002-0001.dcm,0,2,1d80cb16-8d65-4666-ab6c-58f8c4ab0571,[]
2019-04-24_14:34:14,IM-0054-0029-0001.dcm,0,2,1776b25b-de57-41ba-8f19-8bf6c99ecbcb,[]
2019-04-24_16:13:12,IM-0016-0014-0001.dcm,0,2,bea25956-9757-41f8-bad0-b4416154d796,[]
2019-04-24_17:47:20,IM-0054-0005-0001.dcm,0,2,3f17512e-a70f-40c9-b16b-0afb7e0921ce,[]
2019-04-25_08:04:52,IM-0060-0009-0001.dcm,0,3,a0ab2aa8-55b8-41e7-a2ad-428d578d3adf,[]
2019-04-25_09:36:37,IM-0067-0018-0001.dcm,0,2,58b24704-fd1d-4834-9e18-3b5d267370aa,[]
2019-04-25_13:19:16,IM-0048-0017-0001.dcm,0,101,947d92ec-d84c-4ea4-8028-162afd8cf35a,[]
2019-04-25_14:22:40,IM-0022-0006-0001.dcm,0,1,7f6a9982-4c83-47c7-9a32-3dfc854e8e10,[]
2019-04-25_14:59:05,IM-0017-0005-0001.dcm,0,2,a77730c4-c802-4fe4-ae57-732608aa476e,[]
2019-04-25_15:27:49,IM-0048-0012-0001.dcm,0,2,299df80d-05f3-4345-b8cf-1323cb105085,[]
